timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778160527219,akka://Querying@127.0.0.1:2551,(empty),0,0
1778160527479,127.0.0.1:2551,127.0.0.1:2551,39,12
1778160531929,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160536936,127.0.0.1:2551,127.0.0.1:2551,39,4
1778160541936,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160547204,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160552004,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160557457,127.0.0.1:2551,127.0.0.1:2551,39,2
1778160561929,127.0.0.1:2551,127.0.0.1:2551,39,0
1778160570440,127.0.0.1:2551,127.0.0.1:2551,39,17
1778160573356,127.0.0.1:2551,127.0.0.1:2551,39,14
1778160576926,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160581933,127.0.0.1:2551,127.0.0.1:2551,39,4
1778160586929,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160591934,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160597280,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160601944,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160606964,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160611971,127.0.0.1:2551,127.0.0.1:2551,39,0
1778160619950,127.0.0.1:2551,127.0.0.1:2551,39,12
1778160622724,127.0.0.1:2551,127.0.0.1:2551,39,12
1778160626923,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160631936,127.0.0.1:2551,127.0.0.1:2551,39,6
1778160636919,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160641927,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160647225,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160651975,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160657056,127.0.0.1:2551,127.0.0.1:2551,39,3
1778160661932,127.0.0.1:2551,127.0.0.1:2551,39,0
