timestamp_ms,node,cpu_load_avg,cpu_combined,heap_used_mb,heap_committed_mb,heap_max_mb,processors
1778507721445,127.0.0.1:2551,1.2600,0.0578,4152.51,6657.98,8192.00,20
1778507724465,127.0.0.1:2551,1.2600,0.0574,4153.12,6657.99,8192.00,20
1778507724465,127.0.0.1:2551,1.2600,0.0574,4153.12,6657.99,8192.00,20
1778507727485,127.0.0.1:2551,1.2400,0.0571,4153.63,6657.99,8192.00,20
1778507727485,127.0.0.1:2551,1.2400,0.0571,4153.63,6657.99,8192.00,20
1778507730505,127.0.0.1:2551,1.2200,0.0561,4154.06,6657.99,8192.00,20
1778507730505,127.0.0.1:2551,1.2200,0.0561,4154.06,6657.99,8192.00,20
1778507733525,127.0.0.1:2551,1.2200,0.0552,4154.42,6657.99,8192.00,20
1778507733525,127.0.0.1:2551,1.2200,0.0552,4154.42,6657.99,8192.00,20
1778507736545,127.0.0.1:2551,1.3600,0.0545,4154.73,6657.99,8192.00,20
1778507736545,127.0.0.1:2551,1.3600,0.0545,4154.73,6657.99,8192.00,20
1778507739565,127.0.0.1:2551,1.3600,0.0547,4154.98,6657.99,8192.00,20
1778507739565,127.0.0.1:2551,1.3600,0.0547,4154.98,6657.99,8192.00,20
1778507742585,127.0.0.1:2551,1.4900,0.0546,4155.52,6657.99,8192.00,20
1778507742585,127.0.0.1:2551,1.4900,0.0546,4155.52,6657.99,8192.00,20
1778507745605,127.0.0.1:2551,1.3700,0.0548,4155.97,6658.00,8192.00,20
1778507745605,127.0.0.1:2551,1.3700,0.0548,4155.97,6658.00,8192.00,20
1778507748625,127.0.0.1:2551,1.3700,0.0542,4156.34,6658.00,8192.00,20
1778507748626,127.0.0.1:2551,1.3700,0.0542,4156.34,6658.00,8192.00,20
1778507751645,127.0.0.1:2551,1.4200,0.0533,4156.66,6658.00,8192.00,20
1778507751645,127.0.0.1:2551,1.4200,0.0533,4156.66,6658.00,8192.00,20
1778507754665,127.0.0.1:2551,1.4200,0.0531,4156.93,6658.00,8192.00,20
1778507754665,127.0.0.1:2551,1.4200,0.0531,4156.93,6658.00,8192.00,20
1778507757685,127.0.0.1:2551,1.3100,0.0532,4157.15,6658.00,8192.00,20
1778507757686,127.0.0.1:2551,1.3100,0.0532,4157.15,6658.00,8192.00,20
1778507760705,127.0.0.1:2551,1.2000,0.0534,4157.34,6658.00,8192.00,20
1778507760705,127.0.0.1:2551,1.2000,0.0534,4157.34,6658.00,8192.00,20
1778507763725,127.0.0.1:2551,1.2000,0.0537,4157.82,6658.00,8192.00,20
1778507763725,127.0.0.1:2551,1.2000,0.0537,4157.82,6658.00,8192.00,20
1778507766745,127.0.0.1:2551,1.1100,0.0569,4158.22,6658.00,8192.00,20
1778507766745,127.0.0.1:2551,1.1100,0.0569,4158.22,6658.00,8192.00,20
1778507769764,127.0.0.1:2551,1.1100,0.0561,4158.56,6658.00,8192.00,20
1778507769764,127.0.0.1:2551,1.1100,0.0561,4158.56,6658.00,8192.00,20
1778507772785,127.0.0.1:2551,1.0200,0.0550,4158.84,6658.00,8192.00,20
1778507772785,127.0.0.1:2551,1.0200,0.0550,4158.84,6658.00,8192.00,20
1778507775805,127.0.0.1:2551,0.9400,0.0543,4159.08,6658.00,8192.00,20
1778507775805,127.0.0.1:2551,0.9400,0.0543,4159.08,6658.00,8192.00,20
1778507778825,127.0.0.1:2551,0.9400,0.0541,4159.28,6658.00,8192.00,20
1778507778825,127.0.0.1:2551,0.9400,0.0541,4159.28,6658.00,8192.00,20
1778507781845,127.0.0.1:2551,0.8600,0.0533,4159.77,6658.00,8192.00,20
1778507781845,127.0.0.1:2551,0.8600,0.0533,4159.77,6658.00,8192.00,20
1778507784865,127.0.0.1:2551,0.8600,0.0526,4160.17,6658.00,8192.00,20
1778507784865,127.0.0.1:2551,0.8600,0.0526,4160.17,6658.00,8192.00,20
1778507787885,127.0.0.1:2551,0.8700,0.0530,4160.52,6658.00,8192.00,20
1778507787885,127.0.0.1:2551,0.8700,0.0530,4160.52,6658.00,8192.00,20
1778507790905,127.0.0.1:2551,0.8800,0.0536,4160.81,6658.00,8192.00,20
1778507790905,127.0.0.1:2551,0.8800,0.0536,4160.81,6658.00,8192.00,20
1778507793925,127.0.0.1:2551,0.8800,0.0528,4161.05,6658.00,8192.00,20
1778507793925,127.0.0.1:2551,0.8800,0.0528,4161.05,6658.00,8192.00,20
1778507796945,127.0.0.1:2551,0.8100,0.0538,4161.26,6658.00,8192.00,20
1778507796945,127.0.0.1:2551,0.8100,0.0538,4161.26,6658.00,8192.00,20
1778507799965,127.0.0.1:2551,0.8100,0.0533,4161.43,6658.00,8192.00,20
1778507799965,127.0.0.1:2551,0.8100,0.0533,4161.43,6658.00,8192.00,20
1778507802985,127.0.0.1:2551,0.7500,0.0532,4161.89,6658.00,8192.00,20
1778507802985,127.0.0.1:2551,0.7500,0.0532,4161.89,6658.00,8192.00,20
1778507806005,127.0.0.1:2551,0.6900,0.0544,4162.28,6658.00,8192.00,20
1778507806005,127.0.0.1:2551,0.6900,0.0544,4162.28,6658.00,8192.00,20
1778507809025,127.0.0.1:2551,0.6900,0.0554,4162.61,6658.00,8192.00,20
1778507809025,127.0.0.1:2551,0.6900,0.0554,4162.61,6658.00,8192.00,20
